n,rand_std,rand_hyb,rev_std,rev_hyb,alm_std,alm_hyb
21600,4,4,2,2,1,1
21700,4,5,2,2,1,1
21800,4,4,3,2,1,1
21900,4,4,3,2,1,1
22000,5,4,2,2,1,1
22100,4,4,2,2,1,1
22200,5,4,2,2,1,1
22300,4,4,2,2,1,1
22400,4,4,2,2,1,1
22500,4,4,2,2,1,1
22600,4,3,2,2,1,1
22700,4,4,2,2,1,1
22800,4,3,2,2,1,1
22900,4,4,2,2,1,1
23000,4,4,2,2,1,1
23100,4,4,2,2,1,1
23200,4,3,2,2,1,1
23300,4,4,2,2,1,1
23400,4,3,3,2,1,1
23500,4,4,2,2,1,1
23600,4,3,2,2,1,1
23700,4,4,2,2,1,1
23800,4,4,2,2,1,1
23900,4,4,2,2,1,1
24000,4,4,2,2,1,1
24100,5,4,2,2,1,1
24200,4,4,2,2,1,1
24300,4,4,2,2,1,1
24400,5,4,2,2,1,1
24500,4,4,2,2,2,1
24600,4,4,2,2,1,1
24700,5,4,2,2,1,1
24800,4,4,2,2,1,1
24900,5,4,2,2,2,2
25000,4,4,2,2,1,1
25100,4,4,2,2,1,1
25200,4,4,2,2,2,1
25300,5,4,2,2,1,1
25400,4,4,2,2,1,1
25500,4,4,2,2,2,2
25600,4,4,2,2,2,1
25700,5,4,2,2,2,1
25800,5,4,2,2,2,2
25900,5,4,2,2,1,1
26000,5,4,2,2,1,1
26100,5,4,2,2,1,1
26200,4,4,2,2,1,1
26300,4,4,2,2,1,1
26400,5,4,2,2,1,1
26500,5,4,2,3,1,1
26600,5,4,2,2,1,2
26700,5,4,2,2,1,1
26800,5,4,2,2,2,2
26900,5,4,2,2,1,1
27000,5,4,2,2,1,1
27100,5,4,3,2,1,1
27200,5,4,2,2,1,1
27300,6,4,3,2,2,2
27400,5,4,2,2,1,1
27500,5,4,2,2,1,1
27600,5,4,2,3,2,2
27700,5,4,2,2,1,1
27800,5,4,2,2,1,1
27900,5,5,2,2,2,2
28000,5,4,2,2,2,1
28100,5,4,2,2,2,1
28200,5,4,2,2,1,1
28300,5,4,2,2,2,2
28400,5,4,2,2,2,2
28500,5,4,2,2,2,2
28600,5,4,3,2,2,2
28700,5,4,2,2,2,2
28800,5,4,2,2,2,2
28900,5,4,2,2,2,2
29000,5,4,2,2,2,2
29100,5,5,3,3,2,2
29200,6,5,3,3,2,2
29300,5,5,3,2,2,2
29400,5,5,2,2,2,2
29500,5,5,2,2,2,2
29600,5,5,2,2,2,2
29700,5,5,3,3,2,2
29800,6,5,2,2,2,2
29900,5,5,2,2,2,2
30000,6,5,2,2,2,2
30100,6,5,2,3,2,2
30200,6,5,2,3,2,2
30300,5,5,3,3,2,2
30400,6,7,4,3,2,2
30500,6,6,3,2,2,2
30600,6,5,3,3,2,2
30700,6,5,3,2,2,2
30800,6,5,3,3,2,2
30900,6,6,4,3,2,2
31000,6,5,3,2,2,2
31100,6,5,3,3,2,3
31200,6,5,3,2,2,3
31300,7,5,3,3,2,2
